date,V_t,E_t,D_t,R_t
2020-07-03,177,966,0.062018489984591675,0.7432712215320911
2020-07-04,174,944,0.06272008504418311,0.701271186440678
2020-07-05,161,890,0.06909937888198758,0.7314606741573034
2020-07-06,174,894,0.05939804664141918,0.6935123042505593
2020-07-07,179,866,0.05435942502040048,0.6662817551963048
2020-07-08,168,909,0.06479897348160821,0.7084708470847084
2020-07-09,179,918,0.057623501349570026,0.7124183006535948
2020-07-10,175,959,0.06298850574712644,0.7340980187695516
2020-07-11,172,936,0.06364749082007344,0.7286324786324786
2020-07-12,166,909,0.06637458926615553,0.7205720572057206
2020-07-13,170,889,0.06188652975983293,0.6974128233970753
2020-07-14,173,856,0.05753461486758973,0.7044392523364486
2020-07-15,174,950,0.06311872965251479,0.7136842105263158
2020-07-16,179,960,0.0602598706923608,0.7260416666666667
2020-07-17,185,1002,0.05887191539365452,0.7365269461077845
2020-07-18,176,990,0.06428571428571428,0.7292929292929293
2020-07-19,161,933,0.07243788819875777,0.7491961414790996
2020-07-20,174,954,0.0633844927247359,0.6928721174004193
2020-07-21,179,924,0.058000125541397274,0.7045454545454546
2020-07-22,181,977,0.059975445058317985,0.706243602865916
2020-07-23,182,971,0.058952097626130774,0.741503604531411
2020-07-24,180,1010,0.0626939788950962,0.7524752475247525
2020-07-25,180,987,0.06126629422718808,0.7527862208713273
2020-07-26,163,960,0.07271074755737332,0.740625
2020-07-27,176,948,0.06155844155844156,0.7046413502109705
2020-07-28,183,943,0.056626433675614006,0.7073170731707317
2020-07-29,173,959,0.0644575883855357,0.7028154327424401
2020-07-30,191,988,0.05445026178010472,0.728744939271255
2020-07-31,182,1021,0.06198773602088519,0.7404505386875612
2020-08-01,182,1053,0.06393054459352802,0.7578347578347578
2020-08-02,180,1045,0.0648665425201738,0.7588516746411483
2020-08-03,178,1014,0.06436869167777566,0.7386587771203156
2020-08-04,186,968,0.056262714327230456,0.7076446280991735
2020-08-05,185,1020,0.059929494712103404,0.7313725490196078
2020-08-06,186,1027,0.05969195001453066,0.7361246348588121
2020-08-09,176,1035,0.06720779220779222,0.7555555555555555
2020-08-10,181,1015,0.06230816451810926,0.7310344827586207
2020-08-11,190,996,0.055472013366750214,0.6897590361445783
2020-08-14,189,1100,0.061916019362827875,0.7481818181818182
2020-08-15,195,1112,0.05878932064499075,0.7338129496402878
2020-08-16,178,1069,0.06786009014156033,0.735266604303087
2020-08-17,184,1040,0.061772392492278456,0.7163461538461539
2020-08-18,193,1009,0.05445811744386874,0.7006937561942518
2020-08-19,180,1031,0.06399751707014277,0.7041707080504365
2020-08-20,184,1052,0.06248515086718936,0.7119771863117871
2020-08-21,194,1090,0.05822338550291117,0.755045871559633
2020-08-22,190,1100,0.061264271790587584,0.7372727272727273
2020-08-23,183,1045,0.06275145619407915,0.7358851674641148
2020-08-24,185,1016,0.05969447708578143,0.7106299212598425
2020-08-25,191,1017,0.05604849820887297,0.7000983284169124
2020-08-26,181,1024,0.06286065070595458,0.708984375
2020-08-27,189,1058,0.05955195316897445,0.718336483931947
2020-08-28,190,1085,0.06042884990253411,0.7428571428571429
2020-08-29,191,1113,0.06133921190410581,0.7313566936208445
2020-08-30,174,1048,0.0696299249219321,0.7385496183206107
2020-08-31,180,1035,0.06424581005586592,0.7188405797101449
2020-09-01,192,1013,0.05524650959860384,0.7018756169792695
2020-09-02,190,1051,0.058535226956279586,0.7107516650808754
2020-09-03,188,1092,0.062123108430993286,0.7152014652014652
2020-09-04,189,1114,0.06270404142744568,0.7423698384201077
2020-09-05,190,1129,0.06287942077415762,0.7209920283436669
2020-09-06,181,1078,0.0661755678330264,0.7346938775510204
2020-09-07,183,1037,0.06227106227106227,0.7242044358727098
2020-09-08,193,1017,0.054889896373056996,0.7020648967551623
2020-09-09,192,1048,0.05715532286212914,0.6879770992366412
2020-09-10,188,1074,0.061099101149163726,0.7067039106145251
2020-09-11,194,1122,0.05993269590299664,0.7290552584670231
2020-09-12,189,1110,0.0624788922661263,0.7225225225225225
2020-09-13,182,1088,0.0660554914698561,0.7297794117647058
2020-09-14,184,1018,0.060465668804941794,0.7053045186640472
2020-09-15,192,1015,0.055355584642233856,0.6876847290640394
2020-09-16,188,1042,0.05927864375924451,0.6967370441458733
2020-09-17,190,1061,0.05909217488164857,0.7257304429783223
2020-09-18,194,1102,0.05886437690294322,0.7404718693284936
2020-09-19,190,1103,0.06143135616819827,0.7207615593834995
